,tote_id,batch,weight,gmc,color,size,location
0,0866,BCGD06,1830.0,B11674261,CW,10X30,Pregrinds
1,0500,BMI023,865.0,B11674261,CW,10X30,Zone B
2,0344,BCGD03,1800.0,B11674261,CW,10X30,Pregrinds
3,0361,BMI021,443.0,B11674261,CW,10X30,Zone B
4,0260,BCGD08,1804.0,B11674261,CW,10X30,Zone E
5,1009,BCGD05,1826.0,B11674261,CW,10X30,Pregrinds
6,0721,BCGD09,1802.0,B11674261,CW,10X30,Pregrinds
7,0130,BCGD07,1844.0,B11674261,CW,10X30,Pregrinds
8,0167,BMI024,1150.0,B11674261,CW,10X30,Zone B
9,1008,BCFB11,996.0,B11674261,CW,10X30,870-3
10,1153,BMI026,1114.0,B11674261,CW,10X30,Zone B
11,1374,BCGD10,1824.0,B11674261,CW,10X30,Pregrinds
12,1452,BCGD04,1829.0,B11674261,CW,10X30,Pregrinds
13,1461,BCGD12,1524.0,B11674261,CW,10X30,Pregrinds
14,0655,BAXW99,1764.0,B11674273,CW,20X50,Zone E
15,0411,BCFE94,687.0,B11674273,CW,20X50,870-5
16,0755,BCGJ26,1803.0,B11674288,CW,30X150,Zone C
17,0807,BCGJ23,1811.0,B11674288,CW,30X150,Zone C
18,0851,BCGA86,1745.0,B11674288,CW,30X150,940
19,1014,BCGJ31,1797.0,B11674288,CW,30X150,Zone C
20,0101,BCGF58,364.0,B11674288,CW,30X150,870-4
21,0242,BCGJ20,1810.0,B11674288,CW,30X150,Zone C
22,1090,BCGJ33,1372.0,B11674288,CW,30X150,Zone C
23,1106,BCGJ28,1800.0,B11674288,CW,30X150,Zone C
24,0030,BCGF39,1850.0,B11674309,CW,4X12,Zone B
25,0967,BCFS06,1842.0,B11674309,CW,4X12,Prep1
26,0587,BCFM10,1579.0,B11674309,CW,4X12,870-2
27,0767,BCGF36,1801.0,B11674309,CW,4X12,Zone B
28,0811,BCGF46,1820.0,B11674309,CW,4X12,Zone B
29,0199,BCGF48,1577.0,B11674309,CW,4X12,Zone B
30,1492,BCGF34,1800.0,B11674309,CW,4X12,Zone B
31,1440,BCGF31,1790.0,B11674309,CW,4X12,Zone B
32,1431,BCFS11,1850.0,B11674309,CW,4X12,Prep1
33,0560,BCFS10,1105.0,B11674309,CW,4X12,870-3
34,0746,BCGF43,1845.0,B11674309,CW,4X12,Zone B
35,0782,BCFS18,1768.0,B11674309,CW,4X12,870-1
36,0993,BCGF44,1809.0,B11674309,CW,4X12,Zone B
37,0889,BCGF42,1827.0,B11674309,CW,4X12,Zone B
38,0899,BCFM07,1023.0,B11674309,CW,4X12,870-3
39,0006,BCFS69,880.0,B11674312,CW,7X10,870-1
40,0820,BCFS78,1543.0,B11674312,CW,7X10,Prep1
41,0439,BCFS81,1523.0,B11674312,CW,7X10,Prep1
42,0501,B49574,831.0,B11674312,CW,7X10,Zone B
43,0892,B49572,922.0,B11674312,CW,7X10,Zone B
44,1495,BCFS77,1542.0,B11674312,CW,7X10,Prep1
45,1483,B49603,456.0,B11674312,CW,7X10,Zone B
46,0677,B49573,1050.0,B11674312,CW,7X10,Zone B
47,1484,BCFS63,1493.0,B11674312,CW,7X10,870-4
48,0624,BCFS59,1256.0,B11674312,CW,7X10,870-1
49,1524,BCGI55,1524.0,B11674312,CW,7X10,Zone B
50,0796,BCFS76,1509.0,B11674312,CW,7X10,Prep1
51,0523,BCFS74,1547.0,B11674312,CW,7X10,Prep1
52,0172,BCFS50,1816.0,B11674312,CW,7X10,Prep1
53,0493,B49575,1221.0,B11674312,CW,7X10,Zone B
54,0838,BCGB96,1532.0,B11674326,GW,10X30,870-1
55,0429,BCGB70,1832.0,B11674326,GW,10X30,940
56,0046,BCGB69,1829.0,B11674326,GW,10X30,940
57,1415,BCGH85,1830.0,B11674326,GW,10X30,Pregrinds
58,0754,BCGH83,1827.0,B11674326,GW,10X30,Pregrinds
59,1145,BCGH84,1800.0,B11674326,GW,10X30,Pregrinds
60,1472,BCGH89,725.0,B11674326,GW,10X30,Pregrinds
61,0588,BCGB99,1025.0,B11674326,GW,10X30,Drop for 870
62,0076,BCGB67,1815.0,B11674326,GW,10X30,940
63,1364,BCGH86,1825.0,B11674326,GW,10X30,Pregrinds
64,1120,BCGH87,1800.0,B11674326,GW,10X30,Pregrinds
65,0305,BCGB94,1218.0,B11674326,GW,10X30,870-1
66,0028,BCGH88,1830.0,B11674326,GW,10X30,Pregrinds
67,0407,BCGG33,1803.0,B11674336,GW,25X100,Pregrinds
68,0483,BCGG47,571.0,B11674336,GW,25X100,Zone B
69,0715,BCGG46,1832.0,B11674336,GW,25X100,Pregrinds
70,0457,BCGG37,1837.0,B11674336,GW,25X100,Pregrinds
71,0548,BCGC61,1831.0,B11674336,GW,25X100,Zone B
72,1126,BCGG30,1821.0,B11674336,GW,25X100,Drop for 870
73,1150,BCGG43,1850.0,B11674336,GW,25X100,Pregrinds
74,0138,BCGG39,1850.0,B11674336,GW,25X100,Pregrinds
75,0110,BCFR11,1751.0,B11674336,GW,25X100,Zone B
76,0697,BCGG40,1850.0,B11674336,GW,25X100,Pregrinds
77,1095,BCGC63,1815.0,B11674336,GW,25X100,Zone B
78,0014,BCGC64,1816.0,B11674336,GW,25X100,Drop for 870
79,0113,BCGG32,436.0,B11674336,GW,25X100,870-3
80,0455,BCGG44,1823.0,B11674336,GW,25X100,Pregrinds
81,0919,BCGG28,1812.0,B11674336,GW,25X100,Drop for 870
82,0370,BPT059,955.0,B11674345,GW,30X150,Drop for 870
83,0280,BPT055,996.0,B11674345,GW,30X150,Drop for 870
84,0007,BPT057,1290.0,B11674345,GW,30X150,Drop for 870
85,0922,BCFW78,1830.0,B11674345,GW,30X150,940
86,0481,BCFW73,1800.0,B11674345,GW,30X150,940
87,0914,BCFW77,1808.0,B11674345,GW,30X150,940
88,1124,BCFW72,1824.0,B11674345,GW,30X150,940
89,1135,BCFW74,800.0,B11674345,GW,30X150,870-2
90,1110,BCFW58,1846.0,B11674356,GW,4X12,870-5
91,0148,Bcfb50,1282.0,B11674356,GW,4X12,870-5
92,0983,BCFW57,1188.0,B11674356,GW,4X12,870-1
93,0716,BCGC24,1822.0,B11674363,GW,7X10,Drop for 870
94,0083,BCGC17,1802.0,B11674363,GW,7X10,Drop for 870
95,0898,BCGG23,1718.0,B11674363,GW,7X10,Drop for 870
96,0502,BCGC25,1844.0,B11674363,GW,7X10,Drop for 870
97,0938,BCGG26,1850.0,B11674363,GW,7X10,Drop for 870
98,1118,BCGG20,1743.0,B11674363,GW,7X10,Drop for 870
99,1451,BCGC12,1800.0,B11674363,GW,7X10,940
100,0145,BCGG25,1768.0,B11674363,GW,7X10,Drop for 870
101,0127,BCGC13,1800.0,B11674363,GW,7X10,940
102,0742,BCGC19,1819.0,B11674363,GW,7X10,Drop for 870
103,0663,BCGC23,1805.0,B11674363,GW,7X10,Drop for 870
104,0314,BCGC21,1807.0,B11674363,GW,7X10,Drop for 870
105,0433,BCGC31,1739.0,B11674363,GW,7X10,870-1
106,1360,BCGC37,1138.0,B11674363,GW,7X10,Drop for 870
107,0241,BCGC14,1825.0,B11674363,GW,7X10,940
108,0158,BCEJ83,587.0,B11674385,LR,4X12,870-5
109,1089,BCFY36,975.0,B11674392,MH,10X30,Zone B
110,1404,BCFY34,860.0,B11674392,MH,10X30,870-5
111,1356,BCFY32,1808.0,B11674392,MH,10X30,Zone B
112,0288,BCGF81,985.0,B11674408,MH,30X150,870-3
113,0495,BCFL02,413.0,B11674408,MH,30X150,Zone E
114,0272,BCGF59,1588.0,B11674414,MH,4X12,870-5
115,1038,BCGF52,1734.0,B11674414,MH,4X12,Zone B
116,0928,BCET58,1681.0,B11674414,MH,4X12,Zone E
117,0437,BCGF71,268.0,B11674422,MH,7X10,870-2
118,0904,BCFY28,1800.0,B11674422,MH,7X10,Zone B
119,0910,BCGF68,1824.0,B11674422,MH,7X10,Zone B
120,0232,BCGF69,1804.0,B11674422,MH,7X10,940
121,1411,BCGF70,1848.0,B11674422,MH,7X10,940
122,1080,BCFY26,1786.0,B11674422,MH,7X10,Zone B
123,0738,BCGE61,1265.0,B11674452,N3,30X150,870-3
124,0452,BCGJ25,665.0,B11674452,N3,30X150,940.4
125,0823,BCGJ22,1830.0,B11674452,N3,30X150,940.4
126,0683,BCGJ21,1812.0,B11674452,N3,30X150,940.4
127,0822,Bcfn41,1800.0,B11674462,N3,50X150,Zone A
128,1019,BCFN51,1024.0,B11674462,N3,50X150,870-3
129,1394,BCET39,1800.0,B11674462,N3,50X150,Zone A
130,0671,BCGF16,564.0,B11674482,SS,10X30,870-3
131,0576,BCFP74,1609.0,B11674503,SS,30X150,Zone A
132,0944,BCGF22,1433.0,B11674503,SS,30X150,870-1
133,0557,BCFP44,1753.0,B11674529,SS,4X12,Zone A
134,0717,BCFP47,1782.0,B11674529,SS,4X12,Jaco Grinding
135,1480,BCFP43,478.0,B11674529,SS,4X12,870-3
136,0223,BCFP40,1721.0,B11674529,SS,4X12,Zone A
137,1002,BCFP45,1740.0,B11674529,SS,4X12,Zone A
138,1004,BCFP48,1770.0,B11674529,SS,4X12,Zone A
139,1481,BCGE72,1503.0,B11674529,SS,4X12,870-5
140,0416,BCGE80,1823.0,B11674530,SS,7X10,Zone A
141,0534,BCGE83,552.0,B11674530,SS,7X10,870-3
142,0108,BCFX06,812.0,B11674548,W2,10X30,940
143,0611,BCCT51,1845.0,B11674548,W2,10X30,Dirty Totes
